FunctionID_f,AvgServiceTimeMillisec,Invocations30Days
1483,3809,6
1484,18,3
1485,1,288
1486,343,144
1487,308,288
1488,8525,4
1489,96,1411
1490,15,1
1491,1,288
1492,123,24
1493,107570,10171
1494,105,288
1495,13447,96
1496,2159,7
1497,6180,1
1498,133,1440
1499,1228,8
1500,10338,2
1501,1140,15
1502,189,244
1503,114,289
1504,2478,11
1505,145,2
1506,1092,22
1507,36,8
1508,8482,1
1509,31,1
1510,90,97
1511,1005,1
1512,22,2
1513,300,288
1514,1115,360
1515,12,253216
1516,126,480
1517,1030,6
1518,2848,1
1519,1489,1
1520,103191,1
1521,105,48
1522,122,24
1523,1310,24
1524,234,55883
1525,427,35
1526,71085,1
1527,138,968
1528,3146,5
1529,10,168
1530,127740,1
1531,2007,30
1532,1111,48
1533,17019,1
1534,17,2
1535,69,20011
1536,189,288
1537,1,1
1538,1146,144
1539,1,1
1540,2375,1
1541,1209,2
1542,164,2
1543,35168,1
1544,12,28
1545,579,5
1546,15,1
1547,31168,2
1548,1,288
1549,3836,2
1550,20,724
1551,233,1
1552,2449,3
1553,2880,1
1554,4,7405
1555,13518,4
1556,559,288
1557,209,1
1558,1,720
1559,10292,24
1560,436511,12
1561,148,1281
1562,1,720
1563,17000,134
1564,365,1
1565,19,1140
1566,102,210709
1567,447,1001
1568,1,1
1569,11650,142
1570,105,562
1571,370,132
1572,41376,1
1573,565,288
1574,15073,16676
1575,107,225
1576,1234,1
1577,140,1
1578,420,288
1579,5864,1
1580,252,288
1581,1537,1
1582,1,360
1583,1,288
1584,29,1
1585,81179,1
1586,6,2395
1587,40,24
1588,2,1440
1589,131,72
1590,103,26
1591,14072,2
1592,111,900
1593,1315,17
1594,36008,14
1595,136,144
1596,2300,3
1597,1256,5
1598,1425,288
1599,1904,292
1600,27,11
1601,12,480
1602,1,718
1603,1782,1
1604,966,144
1605,80,8639
1606,1265,1
1607,2902,50
1608,1915,32
1609,1480,2
1610,1000,144
1611,149,288
1612,642,24
1613,1,1432
1614,130315,2
1615,1701,1
1616,155,7
1617,139,1
1618,156,146
1619,103,61
1620,188,3
1621,1416,1
1622,1123,4
1623,966,8638
1624,212,48
1625,1,1440
1626,1446,200
1627,181550,3
1628,72,3
1629,1071,48
1630,2723,1
1631,12512,289
1632,107,24
1633,1,4329
1634,1,1
1635,31149,1
1636,1071,4
1637,17529,1
1638,1063,1
1639,1181,144
1640,25137,96
1641,304,13
1642,10687,24
1643,95,1
1644,119708,24
1645,3131,288
1646,3682,288
1647,1079,1
1648,1,1
1649,562,96
1650,113,356
1651,102,1
1652,1401,13
1653,19183,2
1654,100,726
1655,377,18
1656,1078,1
1657,30436,1
1658,1254,15
1659,11544,1
1660,506,24
1661,1522,8640
1662,88635,18
1663,1151,360
1664,810,8
1665,15,1
1666,1613,1
1667,10308,12
1668,59665,96
1669,15181,106
1670,20,1064
1671,29694,144
1672,21175,1
1673,1180,165
1674,26800,602
1675,126,10831975
1676,365,288
1677,44,89
1678,52270,1
1679,496,24
1680,1049,2
1681,318,2
1682,110,1138
1683,475,14
1684,19871,24
1685,255,288
1686,10816,4
1687,136,1
1688,216,17
1689,39317,1
1690,296,288
1691,1319,1
1692,14,96
1693,1158,200
1694,101,144
1695,14569,1
1696,115,1440
1697,117,14
1698,1068,48
1699,1075,144
1700,44482,1
1701,635,1440
1702,1049,289
1703,565,3
1704,1,360
1705,80,288
1706,670,202
1707,1101,36
1708,42,63316
1709,1845,1
1710,1,900
1711,1357,4
1712,300070,4
1713,111294,1
1714,11,71941
1715,1314,1
1716,43995,96
1717,12277,144
1718,1,1
1719,206,90
1720,86365,9
1721,1185,2
1722,318,144
1723,1,1
1724,1050,1
1725,1075,288
1726,3697,1
1727,1140,1
1728,11,1
1729,125,144
1730,1804,2
1731,10,3388
1732,3365,2
1733,265,308
1734,1575,24
1735,1,1
1736,1112,96
1737,15101,1
1738,2033,1
1739,497,8
1740,2315,156
1741,129,144
1742,32,1
1743,228,360
1744,643,288
1745,181,360
1746,10,149
1747,3296,18
1748,25984,1
1749,112,144
1750,87503,1
1751,78,1
1752,3230,1
1753,6397,1
1754,1171,1
1755,503,288
1756,163471,1
1757,122,556
1758,27998,1
1759,109,360
1760,880,9
1761,1247,4
1762,1354,24
1763,1,1
1764,114210,1
1765,13672,69
1766,1267,4
1767,25,288
1768,41,94
1769,90198,1
1770,314874,1
1771,125376,1
1772,100725,12
1773,3564,1
1774,139016,1
1775,1940,6
1776,1033,1
1777,7502,288
1778,6321,1
1779,15,1
1780,1274,288
1781,12516,24
1782,11867,96
1783,1,11642
1784,49,932
